id,Delta,R0,i0
6057,15.0,2.554097497273531,1176.0
6058,17.0,2.1528780262231177,7171.0
6059,22.0,2.081950709200222,8729.0
6060,16.0,2.1077976713242763,5607.0
6061,20.0,2.23690482422357,4517.0
6062,22.0,2.178492066272731,4330.0
6063,15.0,2.3492245398128513,3131.0
6064,16.0,2.1888329177181447,3265.0
6065,17.0,2.203988802646915,5099.0
6066,22.0,2.0572106970742645,8640.0
6067,21.0,2.1960589400215635,3172.0
6068,17.0,2.1443568969621927,6992.0
6069,16.0,2.16255753405687,6137.0
6070,17.0,2.3936379342821255,3134.0
6071,16.0,2.5416529467158266,1518.0
6072,20.0,2.190568587768081,4339.0
6073,20.0,2.218113950777513,3360.0
6074,20.0,2.186199857047133,5865.0
6075,19.0,2.2272851529348037,3872.0
6076,21.0,2.1549468211237808,5365.0
6077,22.0,2.107216790344505,8165.0
6078,22.0,2.0611025912567453,6743.0
6079,20.0,2.004338848984141,9934.0
6080,17.0,2.244563705589015,5311.0
6081,18.0,2.283815725587133,4554.0
6082,22.0,2.0716655384659313,9636.0
6083,15.0,2.2564444548136535,3354.0
6084,19.0,2.2755151430514635,3938.0
6085,21.0,2.1882579185125306,6224.0
6086,21.0,2.189991098800315,4356.0
6087,21.0,2.0120853411956325,9431.0
6088,18.0,2.2547164008584333,5205.0
6089,21.0,2.153918730659832,7021.0
6090,15.0,2.2796156004441355,2105.0
6091,15.0,2.270376431362159,4118.0
6092,19.0,2.049159479808211,9029.0
6093,17.0,2.2887380126181562,3117.0
6094,17.0,2.130973456685326,5656.0
6095,18.0,2.2303182005130644,4144.0
6096,18.0,2.183668723596693,4245.0
6097,20.0,2.0226835252411717,7924.0
6098,19.0,2.0672426858318977,8521.0
6099,17.0,2.1061781208216668,6884.0
6100,20.0,2.200788704187625,5464.0
6101,21.0,2.0843854034073575,6102.0
6102,17.0,2.26537884050126,2604.0
6103,21.0,2.113720331001281,6727.0
6104,21.0,2.1170044152010723,9029.0
6105,16.0,2.346245534963902,2029.0
6106,19.0,2.131583009414476,7613.0
6107,20.0,2.297186715923588,2411.0
6108,18.0,2.1242182168354176,6678.0
6109,21.0,2.1186521979983737,5656.0
6110,20.0,2.1707267487946313,3892.0
6111,19.0,2.3163936840813997,3131.0
6112,15.0,2.292956199100453,3969.0
6113,21.0,1.9787534315459414,8745.0
6114,16.0,2.312015711859397,3349.0
6115,17.0,2.2792784809057074,3669.0
6116,21.0,2.1080598863601434,7974.0
6117,20.0,2.178382126341332,5988.0
6118,15.0,2.245647301059682,4554.0
6119,18.0,2.098920323914946,7924.0
6120,18.0,2.1039101696337177,5821.0
6121,18.0,2.2926167989833863,2777.0
6122,18.0,2.277560474989741,2640.0
6123,19.0,2.06478514789441,7183.0
6124,17.0,2.2015276048230383,5032.0
6125,19.0,2.2317641731225653,3134.0
6126,17.0,2.2732143151685036,3458.0
6127,17.0,2.0790463332931077,7348.0
6128,18.0,2.1960303391974048,3422.0
6129,15.0,2.373393403413087,2411.0
6130,19.0,2.200288417860994,6145.0
6131,15.0,2.256868083410474,3856.0
6132,16.0,2.2562488235394977,3607.0
6133,15.0,2.318683594817921,3181.0
6134,18.0,2.202021427847506,5971.0
6135,17.0,2.194673110415337,3186.0
6136,15.0,2.3278188026579905,3582.0
6137,20.0,2.348159849631681,2184.0
6138,21.0,2.115866197233732,4780.0
6139,21.0,2.1933575983929834,3422.0
6140,19.0,2.2307912390654843,4884.0
6141,21.0,2.098324182741413,8855.0
6142,17.0,2.1647115691976007,3872.0
6143,21.0,2.1857820103861947,5205.0
6144,20.0,2.222741663844999,5263.0
6145,21.0,2.240854895245917,3279.0
6146,15.0,2.3102399599570336,3874.0
6147,15.0,2.168750414221569,4884.0
6148,15.0,2.2268509689752793,3669.0
6149,18.0,2.2792662974166467,3273.0
6150,18.0,2.0993566502634686,5235.0
6151,21.0,2.0572226588875084,9599.0
6152,19.0,2.2883167432617557,2923.0
6153,20.0,2.0849197834677535,5447.0
6154,21.0,2.045371368194615,9642.0
6155,17.0,2.1935636487419004,6168.0
6156,19.0,2.220930889734647,5174.0
6157,17.0,2.3036728385037923,4250.0
6158,22.0,2.0402404033786103,6971.0
6159,18.0,2.4971025464659697,2020.0
6160,19.0,2.3559081487678086,2338.0
6161,17.0,2.1226873972156133,7613.0
6162,17.0,2.1482050125850494,4075.0
6163,22.0,2.0557360415358885,5699.0
6164,22.0,2.141323094833976,5398.0
6165,22.0,2.059161381165639,9718.0
6166,20.0,2.1827334426641953,4144.0
6167,16.0,2.2397896214309214,3856.0
6168,15.0,2.220671130362095,2815.0
6169,20.0,2.103066876395445,4933.0
6170,21.0,2.0500898162523624,7284.0
6171,16.0,2.106212529395319,6261.0
6172,17.0,2.2164495084573015,3349.0
6173,17.0,2.1989365547707855,3498.0
6174,19.0,2.1548522824482688,5032.0
6175,17.0,2.1879839965463623,4237.0
6176,21.0,2.131531015801683,8144.0
6177,23.0,2.056364937188032,8418.0
6178,21.0,2.0919982155598627,8314.0
6179,19.0,2.1490519336377467,7807.0
6180,14.0,2.3845879433428165,1435.0
6181,21.0,2.1665403916518042,6727.0
6182,19.0,2.090783532989601,6723.0
6183,17.0,2.3887367281860152,2546.0
6184,15.0,2.253599351994536,2816.0
