all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White,date
1222.5947736,75.0982358,295.35343450000005,479.89635920000006,351.99916179999997,2021-06-19
1238.8163523,126.24487479999999,241.22113299999998,433.59930380000003,443.96783859999994,2021-06-26
1514.5831901999998,105.0377318,298.01256509999996,512.0056073000001,579.4574071000001,2021-07-03
2352.1289115000004,192.7355055,520.0499702,731.0454393,848.7942463,2021-07-10
3802.6795542,341.809246,876.3734706,1065.330092,1437.5580076,2021-07-17
6226.524918900001,484.3960957,1468.4099049,1779.4497261,2392.5541783,2021-07-24
8863.8121086,670.7694583,2366.8161719,2488.3422733,3204.1230078,2021-07-31
10955.5419936,847.5372325999999,3056.8605626,3199.7239095000004,3610.317997,2021-08-07
11486.5852542,829.573535,3317.8352372000004,3278.1302129999995,3885.6765948,2021-08-14
11781.134972700002,812.108829,3372.3474145000005,3491.1962313999998,4012.9546743000005,2021-08-21
11180.0827935,870.2413504000001,3013.3647835,3174.5841106000003,3992.1522354999997,2021-08-28
10264.8442479,733.517652,2521.8054983,3005.0771497000005,3849.2723269,2021-09-04
10082.991813,972.6593763000001,2401.0049939,2810.6792987999997,3757.0299337999995,2021-09-11
10790.764904700001,1156.0387893,2561.3125815,2886.0986955,4186.7645248,2021-09-18
9651.8393265,1064.7233265,2367.9557993000003,2781.0591397000003,3593.0738701000005,2021-09-25
8290.080483,990.4983260000001,1806.1194911000002,2395.0014358,3204.3967241,2021-10-02
7855.512927300001,857.5170645999999,1542.8655617000002,2137.1318154,3383.1334679999995,2021-10-09
6601.3287636,789.654207,1191.8603225,1729.1701283,2950.1142814,2021-10-16
5321.5315809,637.0875253,974.1914890999999,1471.0515990000001,2331.5154434,2021-10-23
4782.8044146,564.7337433,845.9834066,1277.6493836999998,2130.6076792000003,2021-10-30
5571.685399800001,633.2203403999999,982.9286324999999,1465.3266942999999,2507.7887406,2021-11-06
7021.3822752,856.2695856,1129.5606913,1841.6769510999998,3169.6347539999997,2021-11-13
